bin,l_min,l_max,L_av,PP,error,Ahat
1.000000000000000000e+00,5.000000000000000000e+01,6.700000000000000000e+01,5.850000000000000000e+01,8.390020000000000109e-08,3.361999999999999929e-08,6.540000000000000258e-01
2.000000000000000000e+00,6.800000000000000000e+01,9.100000000000000000e+01,7.950000000000000000e+01,1.163570000000000009e-07,2.331999999999999971e-08,1.016999999999999904e+00
3.000000000000000000e+00,9.200000000000000000e+01,1.250000000000000000e+02,1.085000000000000000e+02,9.909010000000000134e-08,1.640000000000000127e-08,1.034999999999999920e+00
4.000000000000000000e+00,1.260000000000000000e+02,1.700000000000000000e+02,1.480000000000000000e+02,7.339650000000000478e-08,1.123000000000000030e-08,9.719999999999999751e-01
5.000000000000000000e+00,1.710000000000000000e+02,2.320000000000000000e+02,2.015000000000000000e+02,5.967089999999999998e-08,8.124000000000000484e-09,1.050999999999999934e+00
6.000000000000000000e+00,2.330000000000000000e+02,3.150000000000000000e+02,2.740000000000000000e+02,4.254589999999999718e-08,6.430999999999999816e-09,1.036999999999999922e+00
7.000000000000000000e+00,3.160000000000000000e+02,4.290000000000000000e+02,3.725000000000000000e+02,3.357529999999999758e-08,4.381999999999999964e-09,1.173999999999999932e+00
8.000000000000000000e+00,4.300000000000000000e+02,5.840000000000000000e+02,5.070000000000000000e+02,1.580239999999999994e-08,2.927999999999999815e-09,8.369999999999999662e-01
9.000000000000000000e+00,5.850000000000000000e+02,7.940000000000000000e+02,6.895000000000000000e+02,7.512539999999999785e-09,2.210999999999999913e-09,6.270000000000000018e-01
1.000000000000000000e+01,7.950000000000000000e+02,1.080000000000000000e+03,9.375000000000000000e+02,5.736509999999999663e-09,1.755000000000000040e-09,7.700000000000000178e-01
1.100000000000000000e+01,1.081000000000000000e+03,1.470000000000000000e+03,1.275500000000000000e+03,5.854110000000000167e-09,1.470999999999999987e-09,1.290000000000000036e+00
1.200000000000000000e+01,1.471000000000000000e+03,2.000000000000000000e+03,1.735500000000000000e+03,1.867849999999999914e-09,1.341999999999999915e-09,6.800000000000000488e-01
